row,col,leg 1 angle,leg 1 color,leg 2 color,leg 3 color,center color
5.538118960624632,7.0,90,-1,-1,1,-1
5.788118960624632,7.5,30,1,-1,-1,1
6.59713595499958,7.0,30,-1,1,-1,-1
6.34713595499958,7.5,90,-1,-1,1,1
7.156152949374527,7.0,90,1,-1,1,1
7.406152949374527,7.5,30,-1,1,1,-1
8.215169943749475,7.0,30,-1,1,1,1
7.9651699437494745,7.5,90,-1,1,1,-1
8.774186938124423,7.0,90,1,1,1,1
9.024186938124423,7.5,30,1,1,1,1
9.83320393249937,7.0,30,1,1,1,1
9.58320393249937,7.5,90,1,1,1,1
10.392220926874316,7.0,90,1,1,1,1
10.642220926874316,7.5,30,1,1,1,1
11.451237921249264,7.0,30,1,1,1,1
11.201237921249264,7.5,90,-1,1,-1,-1
12.010254915624213,7.0,90,-1,1,1,1
12.260254915624213,7.5,30,-1,-1,1,1
13.06927190999916,7.0,30,-1,-1,-1,-1
12.81927190999916,7.5,90,-1,1,-1,1
13.628288904374106,7.0,90,-1,1,1,1
13.878288904374106,7.5,30,1,-1,-1,-1
0.125,8.0,30,1,1,1,-1
0.6840169943749475,8.0,90,-1,-1,1,1
0.9340169943749475,8.5,30,-1,1,1,1
1.743033988749895,8.0,30,-1,1,1,1
1.493033988749895,8.5,90,-1,-1,1,1
2.3020509831248424,8.0,90,1,-1,-1,1
2.5520509831248424,8.5,30,-1,-1,-1,1
3.36106797749979,8.0,30,1,1,-1,-1
3.11106797749979,8.5,90,-1,-1,1,-1
3.9200849718747373,8.0,90,1,-1,1,1
4.170084971874737,8.5,30,-1,1,-1,1
4.979101966249685,8.0,30,1,1,1,1
4.729101966249685,8.5,90,-1,1,1,1
5.538118960624632,8.0,90,1,-1,1,-1
5.788118960624632,8.5,30,-1,-1,1,1
6.59713595499958,8.0,30,-1,-1,1,-1
6.34713595499958,8.5,90,1,-1,-1,1
7.156152949374527,8.0,90,1,-1,1,1
7.406152949374527,8.5,30,-1,-1,1,-1
8.215169943749475,8.0,30,-1,-1,-1,-1
7.9651699437494745,8.5,90,-1,1,1,1
8.774186938124423,8.0,90,-1,1,1,1
9.024186938124423,8.5,30,-1,1,-1,-1
9.83320393249937,8.0,30,1,1,-1,1
9.58320393249937,8.5,90,-1,1,1,1
10.392220926874316,8.0,90,-1,1,-1,-1
10.642220926874316,8.5,30,1,1,-1,1
11.451237921249264,8.0,30,1,-1,1,1
11.201237921249264,8.5,90,-1,1,-1,-1
12.010254915624213,8.0,90,-1,1,-1,-1
